file_name,runway_name,method_name,repeat_id,point_count,start_latitude,start_longitude,end_latitude,end_longitude,distance_m
东操主席台1bd.nea,东操主席台,bd,1,601,30.30795167,120.07785000,30.30797167,120.07784167,2.363
东操主席台1double.nea,东操主席台,double,1,601,30.30796667,120.07776333,30.30798167,120.07778500,2.666
东操主席台1gps.nea,东操主席台,gps,1,472,30.30808000,120.07794667,30.30806500,120.07786000,8.485
东操主席台2bd.nea,东操主席台,bd,2,601,30.30723500,120.07803333,30.30721000,120.07806000,3.779
东操主席台2double.nea,东操主席台,double,2,601,30.30723833,120.07799833,30.30724333,120.07800667,0.974
东操主席台2gps.nea,东操主席台,gps,2,542,30.30729167,120.07798667,30.30722333,120.07801667,8.126
东操外侧1bd.nea,东操外侧,bd,1,601,30.30806000,120.07885000,30.30802000,120.07887000,4.844
东操外侧1double.nea,东操外侧,double,1,601,30.30811333,120.07904167,30.30817167,120.07876667,27.184
东操外侧1gps.nea,东操外侧,gps,1,601,30.30732167,120.07965500,30.30769333,120.07857833,111.314
东操外侧2bd.nea,东操外侧,bd,2,601,30.30739667,120.07914000,30.30739833,120.07897500,15.841
东操外侧2double.nea,东操外侧,double,2,601,30.30746000,120.07891667,30.30752000,120.07843333,46.876
东操外侧2gps.nea,东操外侧,gps,2,601,30.30775833,120.07829000,30.30799333,120.07852667,34.626
西操BD1.nea,西操,bd,1,601,30.30791167,120.07751167,30.30792000,120.07755500,4.262
西操GPS1.nea,西操,gps,1,601,30.30788333,120.07744167,30.30790000,120.07743500,1.961
西操GPS2.nea,西操,gps,2,601,30.30701500,120.07760000,30.30694000,120.07763500,8.991
西操bd2.nea,西操,bd,2,578,30.30712667,120.07772833,30.30703667,120.07767333,11.315
西操double1.nea,西操,double,1,601,30.30792500,120.07749167,30.30792167,120.07750167,1.029
西操double2.nea,西操,double,2,601,30.30710333,120.07770333,30.30707500,120.07769333,3.294
